s,o
http://dbpedia.org/ontology/Hormone,http://dbpedia.org/ontology/Enzyme
http://dbpedia.org/ontology/RaceTrack,http://dbpedia.org/ontology/Racecourse
http://dbpedia.org/ontology/Year,http://dbpedia.org/ontology/Holiday
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/ontology/Genre
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/ontology/TopicalConcept
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/ontology/GovernmentType
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/ontology/Type
http://dbpedia.org/ontology/College,http://dbpedia.org/ontology/University
http://dbpedia.org/ontology/Locomotive,http://dbpedia.org/ontology/Automobile
http://dbpedia.org/ontology/Racecourse,http://dbpedia.org/ontology/RaceTrack
http://dbpedia.org/ontology/TramStation,http://dbpedia.org/ontology/%3Chttp://vocab.org/transit/terms/stop%3E
http://dbpedia.org/ontology/UnitOfWork,http://dbpedia.org/ontology/Sales
http://dbpedia.org/ontology/UnitOfWork,http://dbpedia.org/ontology/LegalCase
http://dbpedia.org/ontology/UnitOfWork,http://dbpedia.org/ontology/Case
http://dbpedia.org/ontology/%3Chttp://vocab.org/transit/terms/stop%3E,http://dbpedia.org/ontology/TramStation
http://dbpedia.org/ontology/Sales,http://dbpedia.org/ontology/LegalCase
http://dbpedia.org/ontology/Sales,http://dbpedia.org/ontology/Case
http://dbpedia.org/ontology/Sales,http://dbpedia.org/ontology/UnitOfWork
http://dbpedia.org/ontology/Ship,http://dbpedia.org/ontology/Aircraft
http://dbpedia.org/ontology/Ship,http://dbpedia.org/ontology/Locomotive
http://dbpedia.org/ontology/Ship,http://dbpedia.org/ontology/Automobile
http://dbpedia.org/ontology/Ship,http://dbpedia.org/ontology/MilitaryVehicle
http://dbpedia.org/ontology/Abbey,http://dbpedia.org/ontology/Monastery
http://dbpedia.org/ontology/Holiday,http://dbpedia.org/ontology/Year
http://dbpedia.org/ontology/Automobile,http://dbpedia.org/ontology/Aircraft
http://dbpedia.org/ontology/Automobile,http://dbpedia.org/ontology/Locomotive
http://dbpedia.org/ontology/Automobile,http://dbpedia.org/ontology/MilitaryVehicle
http://dbpedia.org/ontology/Automobile,http://dbpedia.org/ontology/Ship
http://dbpedia.org/ontology/GovernmentType,http://dbpedia.org/ontology/MusicGenre
http://dbpedia.org/ontology/GovernmentType,http://dbpedia.org/ontology/Genre
http://dbpedia.org/ontology/GovernmentType,http://dbpedia.org/ontology/TopicalConcept
http://dbpedia.org/ontology/GovernmentType,http://dbpedia.org/ontology/Type
http://dbpedia.org/ontology/Case,http://dbpedia.org/ontology/Sales
http://dbpedia.org/ontology/Case,http://dbpedia.org/ontology/LegalCase
http://dbpedia.org/ontology/Case,http://dbpedia.org/ontology/UnitOfWork
http://dbpedia.org/ontology/LegalCase,http://dbpedia.org/ontology/Sales
http://dbpedia.org/ontology/LegalCase,http://dbpedia.org/ontology/Case
http://dbpedia.org/ontology/LegalCase,http://dbpedia.org/ontology/UnitOfWork
http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/Location
http://dbpedia.org/ontology/Genre,http://dbpedia.org/ontology/MusicGenre
http://dbpedia.org/ontology/Genre,http://dbpedia.org/ontology/TopicalConcept
http://dbpedia.org/ontology/Genre,http://dbpedia.org/ontology/GovernmentType
http://dbpedia.org/ontology/Genre,http://dbpedia.org/ontology/Type
http://dbpedia.org/ontology/AmericanFootballPlayer,http://dbpedia.org/ontology/GridironFootballPlayer
http://dbpedia.org/ontology/Location,http://dbpedia.org/ontology/Place
http://dbpedia.org/ontology/HistoricPlace,http://dbpedia.org/ontology/HistoricBuilding
http://dbpedia.org/ontology/University,http://dbpedia.org/ontology/College
http://dbpedia.org/ontology/Arena,http://dbpedia.org/ontology/Stadium
http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/AdministrativeRegion
http://dbpedia.org/ontology/Monastery,http://dbpedia.org/ontology/Abbey
http://dbpedia.org/ontology/Film,http://dbpedia.org/ontology/Wikidata:Q11424
http://dbpedia.org/ontology/GridironFootballPlayer,http://dbpedia.org/ontology/AmericanFootballPlayer
http://dbpedia.org/ontology/HistoricBuilding,http://dbpedia.org/ontology/HistoricPlace
http://dbpedia.org/ontology/Stadium,http://dbpedia.org/ontology/Arena
http://dbpedia.org/ontology/Wikidata:Q11424,http://dbpedia.org/ontology/Film
http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Region
http://dbpedia.org/ontology/MilitaryVehicle,http://dbpedia.org/ontology/Aircraft
http://dbpedia.org/ontology/MilitaryVehicle,http://dbpedia.org/ontology/Locomotive
http://dbpedia.org/ontology/MilitaryVehicle,http://dbpedia.org/ontology/Automobile
http://dbpedia.org/ontology/MilitaryVehicle,http://dbpedia.org/ontology/Ship
http://dbpedia.org/ontology/Type,http://dbpedia.org/ontology/MusicGenre
http://dbpedia.org/ontology/Type,http://dbpedia.org/ontology/Genre
http://dbpedia.org/ontology/Type,http://dbpedia.org/ontology/TopicalConcept
http://dbpedia.org/ontology/Type,http://dbpedia.org/ontology/GovernmentType
http://dbpedia.org/ontology/TopicalConcept,http://dbpedia.org/ontology/MusicGenre
http://dbpedia.org/ontology/TopicalConcept,http://dbpedia.org/ontology/Genre
http://dbpedia.org/ontology/TopicalConcept,http://dbpedia.org/ontology/GovernmentType
http://dbpedia.org/ontology/TopicalConcept,http://dbpedia.org/ontology/Type
http://dbpedia.org/ontology/Enzyme,http://dbpedia.org/ontology/Hormone
