Y. Khamis,Al-Wasl,Dubai,1982-07-23
W. Foulke,Chelsea F.C.,Shropshire,1874-04-12
T. Revill,Stoke City F.C.,England,1892-5-9
S. McMillan,Chelsea F.C.,Leicester,1896-09-17
S. James,KK Budućnost Podgorica,Brooklyn,1983-09-10
R. Rolls,New Zealand women's national football team,New Zealand,1975-08-22
R. Al-Zaabi,Al-Wasl,Abu Dhabi,1988-10-19
N. Cantwell,Manchester United F.C.,Cork,1932-02-28
M. Coop,Coventry City F.C.,England,1948-07-10
K. Taylor,Huddersfield Town A.F.C.,England cricket team,1935-08-21
